forecast_date,target_date,lat,lon,predicted_chl,observed_chl,err,abs_err,bloom_pred,bloom_obs,eval_key
,2026-02-13,,,0.222,0.23453297,-0.012532970000000004,0.012532970000000004,False,True,|2026-02-13 00:00:00|None|None
,2026-02-14,,,0.222,,,,False,False,|2026-02-14 00:00:00|None|None
,2026-02-15,,,0.222,,,,False,False,|2026-02-15 00:00:00|None|None
,2026-02-16,,,0.222,,,,False,False,|2026-02-16 00:00:00|None|None
,2026-02-17,,,0.222,,,,False,False,|2026-02-17 00:00:00|None|None
,2026-02-18,,,0.222,,,,False,False,|2026-02-18 00:00:00|None|None
,2026-02-19,,,0.222,,,,False,False,|2026-02-19 00:00:00|None|None
,2026-02-20,,,0.222,,,,False,False,|2026-02-20 00:00:00|None|None
,2026-02-21,,,0.227,,,,False,False,|2026-02-21 00:00:00|None|None
,2026-02-22,,,0.227,,,,False,False,|2026-02-22 00:00:00|None|None
,2026-02-23,,,0.227,,,,False,False,|2026-02-23 00:00:00|None|None
,2026-02-24,,,0.227,,,,False,False,|2026-02-24 00:00:00|None|None
